"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"1025","R100","2013","UNRATED","23 Jan 2015","99 min","Comedy, Drama","Hitoshi Matsumoto","Hitoshi Matsumoto (screenplay), Mitsuyoshi Takasu (screenplay), Tomoji Hasegawa (screenplay), Kôji Ema (screenplay), Mitsuru Kuramoto (screenplay)","Nao Ohmori, Mao Daichi, Shinobu Terajima, Hairi Katagiri","An ordinary man with an ordinary life joins a mysterious club. The membership lasts for one year only and there is one rule: no cancellation under any circumstance. The man enters into a ...","Japanese, English","Japan","1 win & 4 nominations.","https://m.media-amazon.com/images/M/MV5BMjU3NzUyMzY1Nl5BMl5BanBnXkFtZTgwNTI5MTM5MzE@._V1_SX300.jpg","Internet Movie Database","6.0/10","Rotten Tomatoes","77%","Metacritic","57/100","57","6.0","2,016","tt2914838","movie","10 Mar 2015","$24,068","Drafthouse Films","http://drafthousefilms.com/film/r-100","True",NA
"1026","Mortdecai","2015","R","23 Jan 2015","107 min","Action, Comedy, Crime","David Koepp","Eric Aronson (screenplay), Kyril Bonfiglioli (novel)","Johnny Depp, Gwyneth Paltrow, Paul Bettany, Ewan McGregor","Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.","English","UK, USA","1 win & 8 nominations.","https://m.media-amazon.com/images/M/MV5BMjM3NDcxOTM5Ml5BMl5BanBnXkFtZTgwNTEwNzE0MzE@._V1_SX300.jpg","Internet Movie Database","5.5/10","Rotten Tomatoes","12%","Metacritic","27/100","27","5.5","58,275","tt3045616","movie","12 May 2015","$6,847,536","Liongate Films","http://mortdecaithemovie.com/","True",NA
"1027","Manny","2014","PG-13","23 Jan 2015","88 min","Documentary, Biography, Sport","Leon Gast, Ryan Moore","N/A","Jimmy Kimmel, Sardo Mejia, Liam Neeson, Jinkee Pacquiao","A man who overcame insurmountable odds to become one of the most loved and respected athletes of all time. From a starving teenager who fought to feed his family, to a Congressman working ...","English","USA, Philippines","1 nomination.","https://m.media-amazon.com/images/M/MV5BMjMwNTc3MTI3OV5BMl5BanBnXkFtZTgwMDkzMTg5MDE@._V1_SX300.jpg","Internet Movie Database","7.2/10","Rotten Tomatoes","25%","Metacritic","35/100","35","7.2","2,067","tt1778931","movie","14 Apr 2015","N/A","Gravitas Ventures","http://www.mannypacquiaomovie.com/","True",NA
"1028","Strange Magic","2015","PG","23 Jan 2015","99 min","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","Gary Rydstrom","David Berenbaum (screenplay by), Irene Mecchi (screenplay by), Gary Rydstrom (screenplay by), George Lucas (story by)","Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull","Goblins, elves, fairies and imps, and their misadventures sparked by the battle over a powerful potion.","English","USA","1 win & 4 nominations.","https://m.media-amazon.com/images/M/MV5BMjA0NjU3MTU5OF5BMl5BanBnXkFtZTgwMTYyMDQ3MzE@._V1_SX300.jpg","Internet Movie Database","5.8/10","Rotten Tomatoes","17%","Metacritic","25/100","25","5.8","8,799","tt4191054","movie","19 May 2015","$10,201,634","Walt Disney Pictures","http://www.facebook.com/StrangeMagicMovie","True",NA
"1029","Cake","2014","R","23 Jan 2015","102 min","Drama","Daniel Barnz","Patrick Tobin (screenplay)","Jennifer Aniston, Adriana Barraza, Anna Kendrick, Sam Worthington","Claire becomes fascinated by the suicide of a woman in her chronic pain support group while grappling with her own, very raw personal tragedy.","English, Spanish","USA","Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BMmE2ZTQ5NTUtMzM2NS00YTIxLWEyMDQtMjBiMGNmODgwN2U5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","48%","Metacritic","49/100","49","6.4","32,024","tt3442006","movie","21 Apr 2015","$1,319,947","Cinelou Films","http://cakemovie.net/","True",NA
"1030","Black Sea","2014","R","23 Jan 2015","114 min","Adventure, Drama, Thriller","Kevin Macdonald","Dennis Kelly (screenplay by)","Jude Law, Karl Davies, Llewella Gideon, Jodie Whittaker","In order to make good with his former employers, a submarine captain takes a job with a shadowy backer to search the depths of the Black Sea for a submarine rumored to be loaded with gold.","English, Russian","UK, USA, Russia","N/A","https://m.media-amazon.com/images/M/MV5BMjMyNzI1ODA3OF5BMl5BanBnXkFtZTgwMTI5OTczMzE@._V1._CR54,54,1274,1940_SX89_AL_.jpg_V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","80%","Metacritic","62/100","62","6.4","30,411","tt2261331","movie","05 May 2015","N/A","Focus Features","http://www.blackseafilm.com","True",NA
"1031","Blackhat","2015","R","16 Jan 2015","133 min","Action, Crime, Thriller","Michael Mann","Morgan Davis Foehl","Chris Hemsworth, Leehom Wang, Wei Tang, Viola Davis","A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.","English, Mandarin, Spanish","USA","5 nominations.","https://m.media-amazon.com/images/M/MV5BMTg1NDUyMzk5NV5BMl5BanBnXkFtZTgwOTk1NzUxMzE@._V1_SX300.jpg","Internet Movie Database","5.4/10","Rotten Tomatoes","33%","Metacritic","51/100","51","5.4","47,059","tt2717822","movie","12 May 2015","$5,686,515","Universal Studios","http://www.blackhatthemovie.com/","True",NA
"1032","Paddington","2014","PG","16 Jan 2015","95 min","Adventure, Comedy, Family, Fantasy","Paul King","Paul King, Hamish McColl (screen story by), Paul King (screen story by), Michael Bond (""Paddington Bear"" created by)","Tim Downie, Madeleine Worrall, Lottie Steer, Geoffrey Palmer","A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.","English","UK, France, USA","Nominated for 1 BAFTA Film Award. Another 2 wins & 6 nominations.","https://m.media-amazon.com/images/M/MV5BMTAxOTMwOTkwNDZeQTJeQWpwZ15BbWU4MDEyMTI1NjMx._V1_SX300.jpg","Internet Movie Database","7.2/10","Rotten Tomatoes","98%","Metacritic","77/100","77","7.2","76,742","tt1109624","movie","28 Apr 2015","$85,879,985","The Weinstein Company","http://thepaddingtonmovie.com/","True",NA
"1033","Northern Borders","2013","N/A","16 Jan 2015","108 min","Drama","Jay Craven","Jay Craven (screen play), Jay Craven, Sascha Stanton Craven (additional writing), Howard Frank Mosher (novel), Grace Statwick (additional writing)","Bruce Dern, Geneviève Bujold, Seamus Davey-Fitzpatrick, Tom Bodett","'Northern Borders' tells the story of ten year-old Austen Kittredge who is sent by his father to live on his grandparents' Vermont farm, where he experiences wild adventures and uncovers ...","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2MjM2ODk0MF5BMl5BanBnXkFtZTgwNzM3ODEwNTE@._V1_SX300.jpg","Internet Movie Database","6.3/10","Rotten Tomatoes","40%","Metacritic","44/100","44","6.3","135","tt2316810","movie","27 Apr 2015","N/A","Kingdom County Productions","https://www.facebook.com/NorthernBordersFilm","True",NA
"1034","The Wedding Ringer","2015","R","16 Jan 2015","101 min","Comedy","Jeremy Garelick","Jeremy Garelick, Jay Lavender","Kevin Hart, Josh Gad, Affion Crockett, Kaley Cuoco","Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.","English, Ukrainian","USA","2 wins & 4 nominations.","https://m.media-amazon.com/images/M/MV5BMTk3MjQyNTUxNl5BMl5BanBnXkFtZTgwNjM3Mjk1MzE@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","28%","Metacritic","35/100","35","6.7","64,884","tt0884732","movie","28 Apr 2015","N/A","Sony Screen Gems","http://https://www.facebook.com/WeddingRinger","True",NA
"1035","Giuseppe Makes a Movie","2014","N/A","15 Jan 2015","82 min","Documentary","Adam Rifkin","David Nordstrom, Mike Plante, Adam Rifkin","Giuseppe Andrews, Vietnam Ron, Big Ed, Walt Dongo","In Ventura, CA, Giuseppe Andrews makes movies in his trailer park where he grew up. A former child actor in some big movies (Independence Day, Unstrung Heroes, Never Been Kissed), Giuseppe ...","English","USA","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NzE4MzYxM15BMl5BanBnXkFtZTgwNzM0NDMzMjE@._V1_SX300.jpg","Internet Movie Database","8.2/10","Rotten Tomatoes","100%",NA,NA,"N/A","8.2","97","tt3661072","movie","N/A","N/A","Cinelicious Pics","http://giuseppemakesamovie.com/","True",NA
"1036","Match","2014","R","14 Jan 2015","92 min","Comedy, Drama","Stephen Belber","Stephen Belber","Yanis Macheboeuf, Patrick Stewart, Ariane Blaise, Carla Gugino","As a Juilliard professor is interviewed by a woman and her husband for her dissertation on the history of dance in 1960s New York, it becomes increasingly clear that there are ulterior motives to the couple's visit.","English, French","USA","N/A","https://m.media-amazon.com/images/M/MV5BOTA5NzAxNzMxNV5BMl5BanBnXkFtZTgwNzY2NDE3MzE@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","75%","Metacritic","62/100","62","6.7","1,899","tt2637378","movie","10 Aug 2015","$30,469","IFC Films","N/A","True",NA
"1037","Taken 3","2014","PG-13","09 Jan 2015","108 min","Action, Thriller","Olivier Megaton","Luc Besson, Robert Mark Kamen, Luc Besson (characters), Robert Mark Kamen (based on characters created by)","Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace","Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his particular set of skills to find the true killer and clear his name.","English, Russian","France, USA, Spain","3 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BNjM5MDU3NTY0M15BMl5BanBnXkFtZTgwOTk2ODU2MzE@._V1_SX300.jpg","Internet Movie Database","6.0/10","Rotten Tomatoes","12%","Metacritic","26/100","26","6.0","158,498","tt2446042","movie","21 Apr 2015","N/A","20th Century Fox","http://takenmovie.com/","True",NA
"1038","Valley of Saints","2012","N/A","09 Jan 2015","82 min","Drama","Musa Syeed","Musa Syeed","Mohammed Afzal, Gulzar Ahmed Bhat, Neelofar Hamid","War and poverty force Gulzar, a young tourist boatman, to run away from Kashmir with his best friend. But a military crackdown derails their escape, and they become trapped in Gulzar's lake...","Kashmiri, English","India, USA","7 wins & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwMzIwNzk1MF5BMl5BanBnXkFtZTgwODEyMjA3NTE@._V1_SX300.jpg","Internet Movie Database","7.0/10","Rotten Tomatoes","100%","Metacritic","85/100","85","7.0","166","tt2088967","movie","N/A","N/A","108 Media/Paladin","http://www.valleyofsaints.com/","True",NA
"1039","Something, Anything","2014","N/A","09 Jan 2015","88 min","Drama, Romance","Paul Harrill","Paul Harrill","Ashley Shelton, Bryce Johnson, Linds Edwards, Amy Hubbard","When a tragedy shatters her plans for domestic bliss, a seemingly typical Southern newlywed gradually transforms into a spiritual seeker, quietly threatening the closest relationships around her.","English","USA","1 win & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTQ3Mjc2OF5BMl5BanBnXkFtZTgwNTU3MzY2MzE@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","91%","Metacritic","73/100","73","6.4","261","tt2461126","movie","N/A","N/A","N/A","N/A","True",NA
"1040","The World Made Straight","2015","R","09 Jan 2015","119 min","Drama","David Burris","Ron Rash (based on the novel by), Shane Danielsen (screenplay by)","Noah Wyle, Jeremy Irvine, Minka Kelly, Adelaide Clemens","In a rural Appalachian community haunted by the legacy of a Civil War massacre, a rebellious young man struggles to escape the violence that would bind him to the past.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTQ0MjgxMzExNl5BMl5BanBnXkFtZTgwMTkwNjI0MzE@._V1_SX300.jpg","Internet Movie Database","5.5/10","Rotten Tomatoes","63%","Metacritic","48/100","48","5.5","1,646","tt2420166","movie","17 Feb 2015","N/A","Millennium Entertainment","http://www.theworldmadestraightmovie.com/","True",NA
"1041","Predestination","2014","R","09 Jan 2015","97 min","Drama, Mystery, Sci-Fi","Michael Spierig, Peter Spierig","Michael Spierig, Peter Spierig, Robert A. Heinlein (based on the short story ""All You Zombies"" by)","Ethan Hawke, Sarah Snook, Christopher Kirby, Christopher Sommers","For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.","English","Australia","11 wins & 18 nominations.","https://m.media-amazon.com/images/M/MV5BMTAzODc3NjU1NzNeQTJeQWpwZ15BbWU4MDk5NTQ4NTMx._V1_SX300.jpg","Internet Movie Database","7.5/10","Rotten Tomatoes","84%","Metacritic","69/100","69","7.5","214,866","tt2397535","movie","10 Feb 2015","$201,560","Sony Pictures","http://www.facebook.com/PredestinationMovie","True",NA
"1042","Dark Summer","2015","NOT RATED","09 Jan 2015","81 min","Horror, Thriller","Paul Solet","Mike Le","Keir Gilchrist, Stella Maeve, Maestro Harrell, Gracie Gillam","A 17-year-old is on house arrest for the summer while his mother is away on business. A horrifying incident occurs leaving an ominous presence in the house.","English","USA, UK","N/A","https://m.media-amazon.com/images/M/MV5BMTYxODA3NzkzN15BMl5BanBnXkFtZTgwNTI1NzQ5MzE@._V1_SX300.jpg","Internet Movie Database","4.3/10","Rotten Tomatoes","32%","Metacritic","31/100","31","4.3","2,914","tt2910508","movie","06 Jul 2015","N/A","IFC Midnight","N/A","True",NA
"1043","Black November","2012","TV-14","09 Jan 2015","95 min","Action, Crime, Drama","Jeta Amata","Jeta Amata","Ibrahim Aba-Gana, Razaaq Adoti, Akon, Fred Amata","Inspired by true events, an oil-rich Nigerian community wages war against an oil corporation to protect their land from being destroyed. Rebels kidnap an American oil executive and demand that his corporation end the destruction.","English","Nigeria, USA","3 wins & 3 nominations.","https://m.media-amazon.com/images/M/MV5BMjAxNTY4OTA0M15BMl5BanBnXkFtZTgwMzUxNDM4MzE@._V1_SX300.jpg","Internet Movie Database","5.5/10","Rotten Tomatoes","25%","Metacritic","31/100","31","5.5","463","tt2147225","movie","02 Mar 2015","N/A","Entertainment One Films","N/A","True",NA
"1044","The Woman in Black 2: Angel of Death","2014","PG-13","02 Jan 2015","98 min","Drama, Horror, Thriller","Tom Harper","Jon Croker (screenplay), Jon Croker, Susan Hill","Phoebe Fox, Merryn Pearse, Mary Roscoe, Helen McCrory","40 years after the first haunting at Eel Marsh House, a group of children evacuated from WWII London arrives, awakening the house's darkest inhabitant.","English","UK, USA, Canada","2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BMTgxMjUyNTAxNF5BMl5BanBnXkFtZTgwNTk4MDUyMzE@._V1_SX300.jpg","Internet Movie Database","4.9/10","Rotten Tomatoes","22%","Metacritic","42/100","42","4.9","23,648","tt2339741","movie","14 Apr 2015","N/A","Relativity Media","http://www.facebook.com/TheWomanInBlackMovie","True",NA
"1045","The Search for General Tso","2014","NOT RATED","02 Jan 2015","71 min","Documentary, Comedy, History","Ian Cheney","Ian Cheney","Ian Cheney","Who was General Tso, and why are we eating his chicken? This feature documentary explores the origins and ubiquity of Chinese-American food through the story of an iconic sweet and spicy chicken dish.","English, Mandarin","USA, Taiwan, China","N/A","https://m.media-amazon.com/images/M/MV5BODc5MzA4OTUxOF5BMl5BanBnXkFtZTgwNDA4ODI2MzE@._V1_SX300.jpg","Internet Movie Database","6.9/10","Rotten Tomatoes","95%","Metacritic","72/100","72","6.9","1,547","tt3576038","movie","N/A","$36,800","IFC","http://www.thesearchforgeneraltso.com/","True",NA
"1046","A Most Violent Year","2014","R","30 Jan 2015","125 min","Crime, Drama, Thriller","J.C. Chandor","J.C. Chandor","Oscar Isaac, Elyes Gabel, Jessica Chastain, Lorna Pruce","In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the city's history.","English, Spanish","United Arab Emirates, USA","Nominated for 1 Golden Globe. Another 15 wins & 50 nominations.","https://m.media-amazon.com/images/M/MV5BMjE4OTY4ODg3Ml5BMl5BanBnXkFtZTgwMTI1MTg1MzE@._V1_SX300.jpg","Internet Movie Database","7.0/10","Rotten Tomatoes","89%","Metacritic","79/100","79","7.0","57,363","tt2937898","movie","07 Apr 2015","N/A","A24","http://amostviolentyear.com/","True",NA
"1047","Selma","2014","PG-13","09 Jan 2015","128 min","Biography, Drama, History","Ava DuVernay","Paul Webb","David Oyelowo, Carmen Ejogo, Jim France, Trinity Simone","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.","English","UK, USA, France","Won 1 Oscar. Another 58 wins & 88 nominations.","https://m.media-amazon.com/images/M/MV5BZGZkNzFkYTgtYTBkZC00M2MzLWJhNzUtMGE4YzRhYmU2Zjg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","7.5/10","Rotten Tomatoes","98%","Metacritic","89/100","89","7.5","74,802","tt1020072","movie","05 May 2015","N/A","Paramount Pictures","http://www.selmamovie.com/","True",NA
"1048","American Sniper","2014","R","16 Jan 2015","133 min","Action, Biography, Drama","Clint Eastwood","Jason Hall, Chris Kyle (book), Scott McEwen (book), Jim DeFelice (book)","Bradley Cooper, Kyle Gallner, Cole Konis, Ben Reed","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.","English, Arabic","USA","Won 1 Oscar. Another 23 wins & 42 nominations.","https://m.media-amazon.com/images/M/MV5BMTkxNzI3ODI4Nl5BMl5BanBnXkFtZTgwMjkwMjY4MjE@._V1_SX300.jpg","Internet Movie Database","7.3/10","Rotten Tomatoes","72%","Metacritic","72/100","72","7.3","385,056","tt2179136","movie","19 May 2015","$274,377,268","Warner Bros.","http://www.americansnipermovie.com","True",NA
"1049","Inherent Vice","2014","R","09 Jan 2015","148 min","Comedy, Crime, Drama","Paul Thomas Anderson","Paul Thomas Anderson (written for the screen by), Thomas Pynchon (based on the novel by)","Joanna Newsom, Katherine Waterston, Joaquin Phoenix, Jordan Christian Hearn","In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.","English, Japanese","USA","Nominated for 2 Oscars. Another 16 wins & 93 nominations.","https://m.media-amazon.com/images/M/MV5BMjI2ODQ2NzUwMl5BMl5BanBnXkFtZTgwNjU3NTE4MjE@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","73%","Metacritic","81/100","81","6.7","78,441","tt1791528","movie","28 Apr 2015","$6,100,613","Warner Bros. Pictures","http://inherentvicemovie.com/","True",NA
"1050","Foxcatcher","2014","R","16 Jan 2015","134 min","Biography, Drama, Sport","Bennett Miller","E. Max Frye, Dan Futterman","Steve Carell, Channing Tatum, Mark Ruffalo, Sienna Miller","U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-destructive behavior threatens to consume them all.","English, French","USA","Nominated for 5 Oscars. Another 12 wins & 74 nominations.","https://m.media-amazon.com/images/M/MV5BMTQ2MjQxNjYxOV5BMl5BanBnXkFtZTgwMzIwODUxMzE@._V1_SX300.jpg","Internet Movie Database","7.0/10","Rotten Tomatoes","87%","Metacritic","81/100","81","7.0","122,870","tt1100089","movie","03 Mar 2015","$9,744,477","Sony Pictures Classics","http://sonyclassics.com/foxcatcher/","True",NA
"1051","The Oscar Nominated Short Films 2014: Live Action","2014","NOT RATED","31 Jan 2014","111 min","Drama","N/A","N/A","N/A","Collective screening of the Academy Award nominated short films from the Live Action category for 2014.","English, Spanish, French, Danish, Finnish","UK","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5NDczMzc1N15BMl5BanBnXkFtZTgwMzY4ODYxMTE@._V1_SX300.jpg","Internet Movie Database","7.3/10",NA,NA,NA,NA,"N/A","7.3","149","tt3517936","movie","N/A","$2,357,890","N/A","N/A","True",NA
"1052","Miss Granny","2014","N/A","22 Jan 2014","124 min","Comedy, Fantasy, Music","Dong-hyuk Hwang","Dong-ik Shin, Yoon-jeong Hong, Hee-seon Dong, Dong-hyuk Hwang (adaptation)","Eun-kyung Shim, Mun-hee Na, In-hwan Park, Dong-il Sung","A 74-year-old widow realizes she is becoming a burden on her family. She mysteriously regains her physical appearance from the age of 20.","Korean","South Korea","7 wins & 8 nominations.","https://m.media-amazon.com/images/M/MV5BMTU5NTk5Mjk1M15BMl5BanBnXkFtZTgwNDU2MTEyMjE@._V1_SX300.jpg","Internet Movie Database","7.4/10","Rotten Tomatoes","80%",NA,NA,"N/A","7.4","2,082","tt3516378","movie","N/A","N/A","CJ Entertainment","http://cj-entertainment.com/movies/131212-001/miss-granny/","True",NA
"1053","Life is Strange","2012","N/A","24 Jan 2014","96 min","Documentary, Biography, Family","Isaac Hertz","Isaac Hertz, Alain Jakubowicz","Isidore Greengrass, Walter Kohn, Peter Loewenberg, Uri Orlev","This is an independent documentary film that tells the stories of Jewish people who were displaced by the Second World War, but concentrates on the vibrant cultural and family life they ...","English, Yiddish, Hebrew","USA, Belgium, Belarus, Israel, Poland, Canada","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzOTA5Mzc3NV5BMl5BanBnXkFtZTcwMTUwNjYwNw@@._V1_SX300.jpg","Internet Movie Database","7.5/10","Rotten Tomatoes","40%",NA,NA,"N/A","7.5","6","tt2069836","movie","N/A","N/A","Laemmle and Look Back LLC","http://www.lifeisstrange-themovie.com/","True",NA
"1054","Lion Ark","2013","N/A","01 Jan 2015","91 min","Documentary, Action, Adventure","Tim Phillips","Jan Creamer, Tim Phillips","Remy Ballivan, Bob Barker, Martin Beltran, Diego Cortes","More action adventure than traditional documentary, Lion Ark follows the world's most ambitious and daring animal rescue, with a narrative meticulously compiled from film, interviews, ...","English","USA, UK, Bolivia","7 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5OTA0NDY0Nl5BMl5BanBnXkFtZTgwNjA0MzUxMDE@._V1_SX300.jpg","Internet Movie Database","8.9/10","Rotten Tomatoes","57%","Metacritic","55/100","55","8.9","21","tt2782332","movie","N/A","N/A","ADI Films","http://www.lionarkthemovie.com","True",NA
"1055","Field Niggas","2015","N/A","01 Feb 2015","60 min","Documentary","Khalik Allah","N/A","N/A","'The combination is simple: a lot of slow motion portraiture combined with a soundtrack of snippets of people's conversation and interview. This straightforward method yields one of the ...","Spanish, English","USA","2 nominations.","N/A","Internet Movie Database","7.4/10","Rotten Tomatoes","100%","Metacritic","83/100","83","7.4","81","tt4686132","movie","N/A","N/A","N/A","N/A","True",NA
"1056","Around the World in 50 Concerts","2014","N/A","28 Feb 2015","95 min","Documentary, Music","Heddy Honigmann","Heddy Honigmann (screenplay)","Koninklijk Concertgebouworkest, Marcelo Ponce, Alice Makgorane, Portia Makgorane","DURING the unique world tour of the RCO celebrating its jubilee in 2013 we meet musicians and concertgoers. The tour develops not just into a journey across the globe but also as a trip to ...","Dutch, English, Spanish, Russian","Netherlands, Finland, Sweden, Australia","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BZWNiMDAwZTItYzE0Zi00NTA4LWE2YTAtN2YyY2EzODJjNDBkXkEyXkFqcGdeQXVyMDM0NzcxMQ@@._V1_SX300.jpg","Internet Movie Database","7.4/10","Metacritic","76/100",NA,NA,"76","7.4","68","tt4144690","movie","N/A","N/A","N/A","N/A","True",NA
"1057","Bluebird","2013","N/A","27 Feb 2015","90 min","Drama","Lance Edmands","Lance Edmands (screenplay)","Amy Morton, John Slattery, Louisa Krause, Emily Meade","In the frozen woods of an isolated Maine logging town, one woman's tragic mistake shatters the balance of the community, resulting in profound and unexpected consequences. Weaving together ...","English","Sweden, USA","3 wins & 11 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NjAyODk5N15BMl5BanBnXkFtZTgwNDM1NjgzNDE@._V1_SX300.jpg","Internet Movie Database","5.8/10","Rotten Tomatoes","79%","Metacritic","67/100","67","5.8","661","tt1567279","movie","N/A","N/A","Factory 25","http://www.bluebird-movie.com/","True",NA
"1058","The Widowmaker","2015","NOT RATED","27 Feb 2015","96 min","Documentary, News","Patrick Forbes","Patrick Forbes","Gillian Anderson","Every minute of every year an American drops dead of a heart attack, hundreds of thousands without any warning or prior symptom. But these people could have been saved. The Widowmaker ...","English","UK, USA","N/A","https://ia.media-imdb.com/images/M/MV5BMjE0NDA3MzgwOV5BMl5BanBnXkFtZTgwNzY2NDM2NDE@._V1_SX300.jpg","Internet Movie Database","8.1/10","Rotten Tomatoes","100%","Metacritic","70/100","70","8.1","164","tt3470838","movie","N/A","N/A","N/A","N/A","True",NA
"1059","The Lazarus Effect","2015","PG-13","27 Feb 2015","83 min","Horror, Mystery, Sci-Fi, Thriller","David Gelb","Luke Dawson, Jeremy Slater","Mark Duplass, Olivia Wilde, Sarah Bolger, Evan Peters","A group of medical researchers discover a way to bring dead patients back to life.","English","USA","2 nominations.","https://m.media-amazon.com/images/M/MV5BMjM2ODM1OTA0M15BMl5BanBnXkFtZTgwMDMxMDI5MzE@._V1_SX300.jpg","Internet Movie Database","5.2/10","Metacritic","31/100",NA,NA,"31","5.2","35,429","tt2918436","movie","N/A","N/A","N/A","N/A","True",NA
"1060","Focus","2015","R","27 Feb 2015","105 min","Comedy, Crime, Drama","Glenn Ficarra, John Requa","Glenn Ficarra, John Requa, Tari","Will Smith, Margot Robbie, Adrian Martinez, Gerald McRaney","In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","English, Spanish","USA, Argentina","3 nominations.","https://m.media-amazon.com/images/M/MV5BMTUwODg2OTA4OF5BMl5BanBnXkFtZTgwOTE5MTE4MzE@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","55%","Metacritic","56/100","56","6.6","184,351","tt2381941","movie","02 Jun 2015","$50,265,541","Warner Bros. Pictures","http://focusmovie.com/","True",NA
"1061","Maps to the Stars","2014","R","27 Feb 2015","111 min","Comedy, Drama","David Cronenberg","Bruce Wagner (screenplay)","Julianne Moore, Mia Wasikowska, John Cusack, Evan Bird","A tour into the heart of a Hollywood family chasing celebrity, one another and the relentless ghosts of their pasts.","English","Canada, Germany, France, USA","Nominated for 1 Golden Globe. Another 10 wins & 19 nominations.","https://m.media-amazon.com/images/M/MV5BMTY3MjQwNzYyNV5BMl5BanBnXkFtZTgwNTY3NDQ5MzE@._V1_SX300.jpg","Internet Movie Database","6.2/10","Rotten Tomatoes","61%","Metacritic","67/100","67","6.2","33,591","tt2172584","movie","14 Apr 2015","$338,190","Focus Features","http://www.focusfeatures.com/maps_to_the_stars","True",NA
"1062","Wild Canaries","2014","NOT RATED","25 Feb 2015","96 min","Comedy, Crime, Drama","Lawrence Michael Levine","Lawrence Michael Levine","Sophia Takal, Lawrence Michael Levine, Alia Shawkat, Annie Parisse","A Brooklyn couple suspects foul play when their rent controlled neighbor suddenly drops dead.","English","USA","1 win & 2 nominations.","https://m.media-amazon.com/images/M/MV5BMjMwNDU2MDg5NF5BMl5BanBnXkFtZTgwMzQ5NzkxNDE@._V1_SX300.jpg","Internet Movie Database","6.1/10","Rotten Tomatoes","86%","Metacritic","67/100","67","6.1","395","tt2800400","movie","N/A","$5,726","IFC Films","http://www.wildcanariesmovie.com/","True",NA
